Sn,Sex,District Code,School,Weight,Program,University ,Intake Year
1268,F,55,BULOBA HIGH SCHOOL,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1269,F,35,JINJA  SECONDARY SCHOOL,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1270,F,55,KISOZI HIGH SCHOOL,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1271,F,51,BUKULULA SECONDARY SCHOOL,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1272,F,16,GREEN LIGHT ISLAMIC S.S,51.4,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1273,F,17,ST. JULIANA HIGH SCHOOL -GAYA ANNEX,51.3,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1274,F,46,NTUNGAMO GIRLS' HIGH SCHOOL,51.3,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1275,F,85,"MOTHER KEVIN COLLEGE, MABIRA",51.2,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1276,F,40,MPIGI MIXED SS,51.2,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1277,F,31,"ST.MARY'S COLLEGE, LUGAZI",51.2,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1278,F,37,MPOMA SCHOOL,51.2,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1279,F,25,"HENRY KASULE M.C., KAKIRI",51.2,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1280,F,16,"BAPTIST HIGH SCHOOL, KITEBI",51.1,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1281,F,16,GAYAZA ROAD SECONDARY SCHOOL,51,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1282,F,55,KISOZI HIGH SCHOOL,51,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1283,F,13,FORT-PORTAL SS,51,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1284,F,42,GOMBE SECONDARY SCHOOL,51,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1285,F,65,ALLIANCE SECONDARY SCHOOL,51,Bachelor Of Office And Information Management (Mubs),MUBS,2024/25
1286,F,55,NAALYA SSS,53.9,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1287,F,132,"ST. LAWRENCE S.S, SSONDE",53.3,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1288,F,101,SSEKE SENIOR SEC. SCHOOL,53.2,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1289,F,65,"AIRFORCE S.S, ENTEBBE",53.1,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1290,F,16,NIBRAS ISLAMIC S.S.,51.7,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1291,F,32,KAKOOLA HIGH SCHOOL,51.6,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1292,F,54,"SEETA H/S GREEN CAMPUS, MUKONO",51.6,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1293,F,69,CITIZEN'S SECONDARY SCHOOL,51.6,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1294,F,53,"ST.MICHAEL SECONDARY SCHOOL, AMEN",51.6,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1295,F,19,SEETA HIGH SCHOOL - A' LEVEL CAMPUS,51.5,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1296,F,16,LUBIRI HIGH SCHOOL,51.5,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1297,F,9,"CORNERSTONE LEADERSHIP ACADEMY, MATUGGA",51.5,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1298,F,55,"MADINAH ISLAMIC SS, NSANGI",51.4,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1299,F,16,SEETA HIGH SCHOOL-MUKONO,51.4,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1300,F,16,"NAALYA SEC. SCHOOL ,KAMPALA",51.4,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1301,F,37,CITIZEN'S SECONDARY SCHOOL,51.4,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1302,F,16,MUNTA ROYAL COLLEGE,51.4,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1303,F,42,"ST. LAWRENCE S.S, SSONDE",51.3,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1304,F,88,SAYIDINA ABUBAKAR SS,51.3,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1305,F,131,ALLIANCE SECONDARY SCHOOL,51.3,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1306,F,133,CITIZEN'S SECONDARY SCHOOL,51.3,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1307,F,85,ST. JULIAN HIGH SCHOOL,51.3,Bachelor Of Leisure Events & Hotel Management,MUBS,2024/25
1308,M,55,RINES SECONDARY SCHOOL,52.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1309,F,123,KABALE TRINITY COLLEGE,50.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1310,F,50,KINGSWAY HIGH SCHOOL,50.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1311,F,69,BWERANYANGI GIRLS' SCHOOL,50.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1312,M,55,SEETA HIGH SCHOOL,50.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1313,M,8,ST MARY'S SS  KITENDE,50.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1314,M,32,SEROMA CHRISTIAN HIGH SCHOOL,49.5,Bachelor Of Commerce (Mubs),MUBS,2024/25
1315,M,55,BULOBA HIGH SCHOOL,49.4,Bachelor Of Commerce (Mubs),MUBS,2024/25
1316,M,16,MENGO SECONDARY SCHOOL,49.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1317,M,25,SAVIOUR HIGH SCHOOL,49.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1318,M,4,ST MARY'S SS  KITENDE,49.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1319,M,16,MENGO SECONDARY SCHOOL,49.2,Bachelor Of Commerce (Mubs),MUBS,2024/25
1320,M,16,MAKERERE COLLEGE SCHOOL,49.1,Bachelor Of Commerce (Mubs),MUBS,2024/25
1321,F,103,BWERANYANGI GIRLS' SCHOOL,48.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1322,M,16,ST MARY'S SS  KITENDE,48.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1323,F,1,"ST.MARY'S COLLEGE, LUGAZI",48.5,Bachelor Of Commerce (Mubs),MUBS,2024/25
1324,M,55,ST MARY'S SS  KITENDE,48.4,Bachelor Of Commerce (Mubs),MUBS,2024/25
1325,F,115,"ST.ANDREA KAHWA'S COL., HOIMA",48,Bachelor Of Commerce (Mubs),MUBS,2024/25
1326,F,4,"STANDARD COLLEGE, BUGIRI",47.9,Bachelor Of Commerce (Mubs),MUBS,2024/25
1327,F,49,SEETA HIGH SCHOOL,47.9,Bachelor Of Commerce (Mubs),MUBS,2024/25
1328,F,26,SEETA HIGH SCHOOL,47.9,Bachelor Of Commerce (Mubs),MUBS,2024/25
1329,F,133,SPIRE HIGH SCHOOL,47.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1330,F,16,SEETA HIGH SCHOOL,47.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1331,F,16,ST MARY'S SS  KITENDE,47.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1332,M,55,"ST HENRY'S COLLEGE, KITOVU",47.8,Bachelor Of Commerce (Mubs),MUBS,2024/25
1333,M,54,"KING'S COLLEGE, BUDO",47.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1334,F,55,ST. MARK'S SS NAMAGOMA,47.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1335,M,65,"UGANDA MARTYRS S.S., NAMUGONGO",47.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1336,M,55,BUDDO SEC. SCHOOL,47.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1337,F,46,BWERANYANGI GIRLS' SCHOOL,47.5,Bachelor Of Commerce (Mubs),MUBS,2024/25
1338,M,16,"KING'S COLLEGE, BUDO",47.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1339,M,16,MENGO SECONDARY SCHOOL,47.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1340,M,16,KIBULI SECONDARY SCHOOL,47.2,Bachelor Of Commerce (Mubs),MUBS,2024/25
1341,M,37,"SACRED HEART SS, MUSHANGA",47.1,Bachelor Of Commerce (Mubs),MUBS,2024/25
1342,F,55,MENGO SECONDARY SCHOOL,47.1,Bachelor Of Commerce (Mubs),MUBS,2024/25
1343,M,55,MAKERERE COLLEGE SCHOOL,47,Bachelor Of Commerce (Mubs),MUBS,2024/25
1344,F,37,ST MARY'S SS  KITENDE,47,Bachelor Of Commerce (Mubs),MUBS,2024/25
1345,F,65,SEETA HIGH SCHOOL,47,Bachelor Of Commerce (Mubs),MUBS,2024/25
1346,M,29,AMUS COLLEGE SCHOOL,46.9,Bachelor Of Commerce (Mubs),MUBS,2024/25
1347,M,42,SEETA HIGH SCHOOL,46.6,Bachelor Of Commerce (Mubs),MUBS,2024/25
1348,F,55,ENTEBBE  SECONDARY SCHOOL,46.5,Bachelor Of Commerce (Mubs),MUBS,2024/25
1349,F,55,ST MARY'S SS  KITENDE,46.4,Bachelor Of Commerce (Mubs),MUBS,2024/25
1350,M,76,ST. GRACIOUS S.S. LIRA,46.4,Bachelor Of Commerce (Mubs),MUBS,2024/25
1351,M,6,ST MARY'S SS  KITENDE,46.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1352,M,75,MENGO SECONDARY SCHOOL,46.3,Bachelor Of Commerce (Mubs),MUBS,2024/25
1353,M,74,OURLADY OF AFRICA SS NAMILYANGO,46.2,Bachelor Of Commerce (Mubs),MUBS,2024/25
1354,M,46,MBARARA HIGH SCHOOL,46.2,Bachelor Of Commerce (Mubs),MUBS,2024/25
1355,F,125,NABISUNSA GIRLS' SCHOOL,54,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1356,F,104,IGANGA SECONDARY SCHOOL,53.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1357,F,88,GOMBE SECONDARY SCHOOL,53.6,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1358,F,42,"ST.PETER'S SS, NAALYA",53.5,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1359,F,55,GOMBE SECONDARY SCHOOL,53.5,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1360,F,33,GOMBE SECONDARY SCHOOL,53.4,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1361,F,55,BUDDO SEC. SCHOOL,53.2,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1362,F,18,KAJJANSI PROGRESSIVE S.S,53.2,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1363,M,32,ST MARY'S SS  KITENDE,52.7,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1364,M,55,ST.LUCIA HILL SCHOOL,52.5,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1365,M,16,SEROMA CHRISTIAN HIGH SCHOOL,52.5,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1366,M,49,ST. JOHN'S COLLEGE MPIGI,52.4,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1367,M,42,NAGGALAMA SENIOR SECONDARY SCHOOL,52.4,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1368,M,16,BUDDO SEC. SCHOOL,52.4,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1369,F,55,BUDDO SEC. SCHOOL,52.3,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1370,M,11,JINJA PROGRESSIVE ANNEX,52.2,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1371,M,51,CITIZEN'S SECONDARY SCHOOL,52.1,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1372,F,16,MARYHILL HIGH SCHOOL,52,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1373,F,37,CITIZEN'S SECONDARY SCHOOL,52,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1374,F,55,"ST.JOSEPH'S S S, NAGGALAMA",51.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1375,F,6,ST.MICHAEL HIGH SCHOOL,51.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1376,F,68,"ST.THEREZA'S GIRLS' SS,BWANDA",51.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1377,M,13,FORT-PORTAL SS,51.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1378,M,13,FORT-PORTAL SS,51.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1379,F,50,IMMACULATE HEART GIRLS SCHOOL,51.9,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1380,F,70,VIVA COLLEGE SCHOOL,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1381,F,42,NDEJJE SECONDARY SCHOOL,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1382,F,30,HILTON HIGH SCHOOL,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1383,F,46,KAJJANSI PROGRESSIVE S.S,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1384,F,88,GOMBE SECONDARY SCHOOL,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1385,F,42,ST.BALIKUDEMBE S.S.S. KISOGA,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1386,F,116,BP CYPRIAN KIHANGIRE SS LUZIRA,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
1387,F,26,BP CYPRIAN KIHANGIRE SS LUZIRA,51.8,Bachelor Of Procurement And Supply Chain Management (Mubs),MUBS,2024/25
